date,station,tobs
2016-12-20,USC00519281,76.0
2016-12-20,USC00513117,74.0
2016-12-20,USC00516128,73.0
2016-12-20,USC00519397,77.0
2016-12-20,USC00514830,77.0
2016-12-20,USC00519523,76.0
2016-12-21,USC00513117,72.0
2016-12-21,USC00519397,74.0
2016-12-21,USC00519523,77.0
2016-12-21,USC00519281,74.0
2016-12-21,USC00514830,76.0
2016-12-21,USC00517948,73.0
2016-12-21,USC00516128,70.0
2016-12-22,USC00519523,73.0
2016-12-22,USC00519281,73.0
2016-12-22,USC00513117,70.0
2016-12-22,USC00516128,68.0
2016-12-22,USC00519397,71.0
2016-12-22,USC00517948,70.0
2016-12-22,USC00514830,72.0
2016-12-23,USC00516128,69.0
2016-12-23,USC00519397,72.0
2016-12-23,USC00519523,71.0
2016-12-23,USC00513117,69.0
2016-12-23,USC00517948,68.0
2016-12-23,USC00519281,71.0
2016-12-23,USC00514830,73.0
2016-12-24,USC00514830,74.0
2016-12-24,USC00519281,74.0
2016-12-24,USC00513117,73.0
2016-12-24,USC00519523,78.0
2016-12-24,USC00516128,69.0
2016-12-24,USC00519397,74.0
2016-12-25,USC00519397,74.0
2016-12-25,USC00519523,78.0
2016-12-25,USC00513117,74.0
2016-12-25,USC00519281,74.0
2016-12-25,USC00516128,69.0
2016-12-26,USC00513117,74.0
2016-12-26,USC00519281,72.0
2016-12-26,USC00514830,74.0
2016-12-26,USC00519523,75.0
2016-12-26,USC00516128,71.0
2016-12-26,USC00519397,74.0
2016-12-27,USC00519281,71.0
2016-12-27,USC00513117,73.0
2016-12-27,USC00519523,75.0
2016-12-27,USC00514830,74.0
2016-12-27,USC00516128,71.0
2016-12-27,USC00519397,74.0
2016-12-28,USC00519397,71.0
2016-12-28,USC00519523,72.0
2016-12-28,USC00517948,71.0
2016-12-28,USC00514830,73.0
2016-12-28,USC00519281,72.0
2016-12-28,USC00513117,71.0
2016-12-28,USC00516128,71.0
2016-12-29,USC00519397,73.0
2016-12-29,USC00513117,72.0
2016-12-29,USC00514830,73.0
2016-12-29,USC00517948,71.0
2016-12-29,USC00519281,74.0
2016-12-29,USC00516128,69.0
2016-12-29,USC00519523,77.0
2016-12-30,USC00519523,72.0
2016-12-30,USC00519281,69.0
2016-12-30,USC00516128,65.0
2016-12-30,USC00514830,71.0
2016-12-30,USC00513117,69.0
2016-12-30,USC00519397,69.0
2016-12-30,USC00517948,68.0
2016-12-31,USC00514830,72.0
2016-12-31,USC00516128,65.0
2016-12-31,USC00519397,66.0
2016-12-31,USC00519281,67.0
2016-12-31,USC00513117,71.0
2017-01-01,USC00519397,62.0
2017-01-01,USC00519281,72.0
2017-01-01,USC00516128,68.0
2017-01-01,USC00519523,74.0
2017-01-01,USC00514830,74.0
2017-01-01,USC00513117,66.0
2017-01-02,USC00514830,74.0
2017-01-02,USC00519397,66.0
2017-01-02,USC00513117,66.0
2017-01-02,USC00516128,70.0
2017-01-02,USC00519281,70.0
2017-01-03,USC00516128,71.0
